Side,Order Ref. Number,Price,Volume
S,11825,2999000,16
Side,Order Ref. Number,Price,Volume
B,74473,2890000,73
S,11825,2999000,16
Side,Order Ref. Number,Price,Volume
S,11825,2999000,16
B,104861,2498200,100
B,74473,2890000,73
Side,Order Ref. Number,Price,Volume
B,105925,2637000,80
S,11825,2999000,16
B,104861,2498200,100
B,74473,2890000,73
Side,Order Ref. Number,Price,Volume
B,110017,2890100,30
B,105925,2637000,80
S,11825,2999000,16
B,104861,2498200,100
B,74473,2890000,73
Side,Order Ref. Number,Price,Volume
B,110017,2890100,30
B,105925,2637000,80
S,11825,2999000,16
B,104861,2498200,100
B,110021,2889600,30
B,74473,2890000,73
Side,Order Ref. Number,Price,Volume
S,110025,2999400,30
B,110017,2890100,30
B,105925,2637000,80
S,11825,2999000,16
B,104861,2498200,100
B,110021,2889600,30
B,74473,2890000,73
Side,Order Ref. Number,Price,Volume
S,110029,2998900,30
S,110025,2999400,30
B,110017,2890100,30
B,105925,2637000,80
S,11825,2999000,16
B,104861,2498200,100
B,110021,2889600,30
B,74473,2890000,73
Side,Order Ref. Number,Price,Volume
S,110533,3000000,4
S,110029,2998900,30
S,110025,2999400,30
B,110017,2890100,30
B,105925,2637000,80
S,11825,2999000,16
B,104861,2498200,100
B,110021,2889600,30
B,74473,2890000,73
Side,Order Ref. Number,Price,Volume
S,110533,3000000,4
S,110029,2998900,30
S,110025,2999400,30
B,110017,2890100,30
B,105925,2637000,80
S,11825,2999000,16
B,104861,2498200,100
B,110021,2889600,30
B,74473,2890000,73
S,110837,3000000,10
Side,Order Ref. Number,Price,Volume
S,112577,2910000,15
S,110533,3000000,4
S,110029,2998900,30
S,110025,2999400,30
B,110017,2890100,30
B,105925,2637000,80
S,11825,2999000,16
B,104861,2498200,100
B,110021,2889600,30
B,74473,2890000,73
S,110837,3000000,10
Side,Order Ref. Number,Price,Volume
S,112577,2910000,15
S,110533,3000000,4
S,110025,2999400,30
B,110017,2890100,30
B,105925,2637000,80
S,11825,2999000,16
B,104861,2498200,100
B,110021,2889600,30
B,74473,2890000,73
S,110837,3000000,10
Side,Order Ref. Number,Price,Volume
S,112577,2910000,15
S,110533,3000000,4
B,110017,2890100,30
B,105925,2637000,80
S,11825,2999000,16
B,104861,2498200,100
B,110021,2889600,30
B,74473,2890000,73
S,110837,3000000,10
Side,Order Ref. Number,Price,Volume
S,112605,2909900,30
S,112577,2910000,15
S,110533,3000000,4
B,110017,2890100,30
B,105925,2637000,80
S,11825,2999000,16
B,104861,2498200,100
B,110021,2889600,30
B,74473,2890000,73
S,110837,3000000,10
Side,Order Ref. Number,Price,Volume
S,112605,2909900,30
S,112577,2910000,15
S,110533,3000000,4
B,110017,2890100,30
B,105925,2637000,80
S,11825,2999000,16
B,104861,2498200,100
B,110021,2889600,30
S,112609,2910400,30
B,74473,2890000,73
S,110837,3000000,10
Side,Order Ref. Number,Price,Volume
S,112605,2909900,30
S,112577,2910000,15
S,110533,3000000,4
B,110017,2890100,30
B,105925,2637000,80
S,11825,2999000,16
B,104861,2498200,100
S,112669,2942300,1
B,110021,2889600,30
S,112609,2910400,30
B,74473,2890000,73
S,110837,3000000,10
Side,Order Ref. Number,Price,Volume
B,112681,2162600,1
S,112605,2909900,30
S,112577,2910000,15
S,110533,3000000,4
B,110017,2890100,30
B,105925,2637000,80
S,11825,2999000,16
B,104861,2498200,100
S,112669,2942300,1
B,110021,2889600,30
S,112609,2910400,30
B,74473,2890000,73
S,110837,3000000,10
Side,Order Ref. Number,Price,Volume
B,112681,2162600,1
S,112605,2909900,30
S,112577,2910000,15
S,110533,3000000,4
B,110017,2890100,30
B,105925,2637000,80
S,11825,2999000,16
B,104861,2498200,100
S,112669,2942300,1
B,110021,2889600,30
S,112685,2980200,1
S,112609,2910400,30
B,74473,2890000,73
S,110837,3000000,10
Side,Order Ref. Number,Price,Volume
B,119665,2880000,57
B,112681,2162600,1
S,112605,2909900,30
S,112577,2910000,15
S,110533,3000000,4
B,110017,2890100,30
B,105925,2637000,80
S,11825,2999000,16
B,104861,2498200,100
S,112669,2942300,1
B,110021,2889600,30
S,112685,2980200,1
S,112609,2910400,30
B,74473,2890000,73
S,110837,3000000,10
Side,Order Ref. Number,Price,Volume
B,119825,2900600,68
B,119665,2880000,57
B,112681,2162600,1
S,112605,2909900,30
S,112577,2910000,15
S,110533,3000000,4
B,110017,2890100,30
B,105925,2637000,80
S,11825,2999000,16
B,104861,2498200,100
S,112669,2942300,1
B,110021,2889600,30
S,112685,2980200,1
S,112609,2910400,30
B,74473,2890000,73
S,110837,3000000,10
Side,Order Ref. Number,Price,Volume
B,119825,2900600,68
B,119665,2880000,57
B,112681,2162600,1
S,112605,2909900,30
S,112577,2910000,15
S,110533,3000000,4
B,105925,2637000,80
S,11825,2999000,16
B,104861,2498200,100
S,112669,2942300,1
B,110021,2889600,30
S,112685,2980200,1
S,112609,2910400,30
B,74473,2890000,73
S,110837,3000000,10
Side,Order Ref. Number,Price,Volume
B,119825,2900600,68
B,119665,2880000,57
B,112681,2162600,1
S,112605,2909900,30
S,112577,2910000,15
S,110533,3000000,4
B,105925,2637000,80
S,11825,2999000,16
B,104861,2498200,100
S,112669,2942300,1
S,112685,2980200,1
S,112609,2910400,30
B,74473,2890000,73
S,110837,3000000,10
Side,Order Ref. Number,Price,Volume
B,119825,2900600,68
B,119665,2880000,57
B,112681,2162600,1
S,112605,2909900,30
S,112577,2910000,15
S,110533,3000000,4
B,105925,2637000,80
S,11825,2999000,16
B,104861,2498200,100
S,112669,2942300,1
S,112685,2980200,1
S,112609,2910400,30
B,119833,2898500,30
B,74473,2890000,73
S,110837,3000000,10
Side,Order Ref. Number,Price,Volume
B,119825,2900600,68
B,119665,2880000,57
B,112681,2162600,1
S,112605,2909900,30
S,112577,2910000,15
S,110533,3000000,4
B,105925,2637000,80
S,11825,2999000,16
B,104861,2498200,100
S,112669,2942300,1
S,112685,2980200,1
S,112609,2910400,30
B,74473,2890000,73
S,110837,3000000,10
Side,Order Ref. Number,Price,Volume
B,119825,2900600,68
B,119665,2880000,57
B,112681,2162600,1
S,112605,2909900,30
S,112577,2910000,15
S,110533,3000000,4
B,105925,2637000,80
